iso3,country,target_pct_gdp,target_year,actual_pct_gdp,actual_year,gap_pct_points,source_target,source_actual,notes
POL,Poland,5.0,2035,4.480549,2025,0.519451,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
PRT,Portugal,5.0,2035,2.003743,2025,2.996257,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
ROU,Romania,5.0,2035,2.281829,2025,2.718171,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
SVK,Slovakia,5.0,2035,2.043977,2025,2.956023,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
SVN,Slovenia,5.0,2035,2.023795,2025,2.976205,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
ESP,Spain,5.0,2035,2.000015,2025,2.999985,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
SWE,Sweden,5.0,2035,2.508719,2025,2.491281,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
TUR,Türkiye,5.0,2035,2.33,2025,2.67,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
GBR,United Kingdom,5.0,2035,2.395867,2025,2.604133,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
USA,United States,5.0,2035,3.216586,2025,1.783414,"NATO, The Hague Summit Declaration, 25 Jun 2025, 5% GDP annual defence investment by 2035, https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/the-hague-summit-declaration, accessed 2026-05-31","NATO, Defence Expenditure of NATO Countries (2014-2025), Table 3 share of real GDP, published 28 Aug 2025, https://www.nato.int/content/dam/nato/webready/documents/finance/def-exp-2025-en.xlsx, accessed 2026-05-31, column 2025e",Ist-Wert ist NATO-Schaetzwert 2025e aus Table 3; Zielwert ist gemeinsamer NATO-5-Prozent-Beschluss bis 2035.
